date_m,2024,2023,2022,2021,2016-2021 average,max 2016-2021,min 2016-2021
12/09,,91.04,89.74,62.71,77.15,91.24,62.71
12/10,,90.84,89.31,62.1,76.67,90.96,62.1
12/11,,90.53,88.85,61.61,76.19,90.55,61.61
12/12,,90.19,88.14,61.22,75.66,90.07,61.22
12/13,,89.85,87.37,60.69,75.12,89.74,60.69
12/14,,89.47,86.66,60.19,74.63,89.6,60.19
12/15,,89.14,85.98,59.71,74.19,89.5,59.71
12/16,,88.98,85.4,59.23,73.72,89.28,59.23
12/17,,88.8,84.98,58.74,73.26,89.1,58.74
12/18,,88.44,84.62,58.33,72.81,88.92,58.33
12/19,,88.05,84.25,57.89,72.36,88.82,57.89
12/20,,87.73,83.98,57.21,71.89,88.75,57.21
12/21,,87.51,83.83,56.43,71.44,88.75,56.43
12/23,,87.22,83.71,55.02,70.73,88.69,55.02
12/24,,87.18,83.78,54.68,70.52,88.67,54.68
12/25,,87.17,83.91,54.4,70.33,88.67,54.4
12/26,,87.1,84.02,54.06,70.08,88.62,54.06
12/27,,86.96,83.99,53.76,69.72,88.45,53.76
12/28,,86.86,83.99,53.53,69.36,88.25,53.53
12/29,,86.74,84.02,53.43,69.0,88.0,53.43
12/30,,86.66,84.08,53.4,68.69,87.69,53.4
12/31,,86.55,84.18,53.55,68.47,87.42,53.55
