jour,stock_solide,stock_liquide,cout_moyen_solide,cout_moyen_liquide,date
212,2236.7987021919803,5283.201297808024,191.8321,262.2507665647068,2025-07-31
213,1684.0563712278422,5161.943628772162,191.8321,261.7375459823613,2025-08-01
214,1284.9355558328818,5561.064444167122,191.8321,261.38547928361817,2025-08-02
215,709.7495153238762,5465.250484676128,191.8321,260.9586648620719,2025-08-03
216,305.16111735753776,5869.838882642466,191.8321,260.6742345224953,2025-08-04
217,0.0,6175.000000000004,191.8321,260.4843608279329,2025-08-05
218,0.0,5522.000000000004,191.8321,260.4843608279329,2025-08-06
219,0.0,4844.000000000004,191.8321,260.4843608279329,2025-08-07
220,7365.0538182957425,4742.946181704261,183.48372727272726,259.09362687997873,2025-08-08
221,6810.262081927761,5297.737918072243,183.48372727272726,257.9825329155685,2025-08-09
222,6810.262081927761,4578.737918072243,183.48372727272726,257.9825329155685,2025-08-10
223,6477.451602859784,4911.54839714022,183.48372727272726,257.3388861872968,2025-08-11
224,6023.13206797911,5365.867932020894,183.48372727272726,256.5891339141643,2025-08-12
225,5607.173954799755,5047.826045200249,183.48372727272726,256.00601196847344,2025-08-13
226,5199.795859672747,4765.204140327257,183.48372727272726,255.44427056860488,2025-08-14
227,4480.855977160642,4818.144022839361,183.48372727272726,254.5317831943642,2025-08-15
228,4017.5721522609947,5281.427847739009,183.48372727272726,254.00125119404868,2025-08-16
229,3359.133683053387,5214.866316946617,183.48372727272726,253.38962968428402,2025-08-17
230,2813.8610979908954,5760.138902009109,183.48372727272726,252.92522177059968,2025-08-18
231,2204.6905865639874,6369.309413436017,183.48372727272726,252.50043043151646,2025-08-19
232,1703.7938207110105,6135.2061792889945,183.48372727272726,252.20757843128186,2025-08-20
233,1177.5082465372334,5955.491753462771,183.48372727272726,251.91337869079598,2025-08-21
234,680.0527750212268,5712.947224978778,183.48372727272726,251.64898804822158,2025-08-22
235,680.0527750212268,5712.947224978778,183.48372727272726,251.64898804822158,2025-08-23
236,100.87885767323746,5631.121142326767,183.48372727272726,251.3576337590553,2025-08-24
237,0.0,5732.000000000005,183.48372727272726,251.3070551820489,2025-08-25
238,0.0,5732.000000000005,183.48372727272726,251.3070551820489,2025-08-26
239,0.0,5030.000000000005,183.48372727272726,251.3070551820489,2025-08-27
240,0.0,4336.000000000005,183.48372727272726,251.30705518204888,2025-08-28
241,11309.161320642177,4292.8386793578275,173.46568,249.54226437856948,2025-08-29
242,10607.54651562395,4994.453484376055,173.46568,247.98623915712147,2025-08-30
243,9934.840005452623,5667.159994547382,173.46568,246.85612422625152,2025-08-31
244,9479.651081725056,6122.348918274948,173.46568,246.23230527572696,2025-09-01
245,9210.664081962426,6391.335918037577,173.46568,245.9054375820258,2025-09-02
246,9210.664081962426,5688.335918037577,173.46568,245.9054375820258,2025-09-03
247,8735.194427609515,5463.80557239049,173.46568,245.33154229534765,2025-09-04
248,8022.343264107939,6176.656735892066,173.46568,244.53914956009336,2025-09-05
249,8022.343264107939,6176.656735892066,173.46568,244.53914956009336,2025-09-06
250,7385.456092196705,6153.5439078033,173.46568,243.97143987712107,2025-09-07
251,6958.097234874342,6580.902765125663,173.46568,243.61389998726784,2025-09-08
252,6958.097234874342,6580.902765125663,173.46568,243.61389998726784,2025-09-09
253,6322.173026972681,6531.826973027323,173.46568,243.16025495327398,2025-09-10
254,5886.333814076426,6279.666185923578,173.46568,242.866601411626,2025-09-11
255,5511.997755982484,5951.002244017521,173.46568,242.6190175496442,2025-09-12
256,4992.628426651553,6470.371573348451,173.46568,242.28563389258673,2025-09-13
257,4305.032657966913,6484.967342033092,173.46568,241.91868836076108,2025-09-14
258,3736.011240894041,7053.988759105964,173.46568,241.64014585414475,2025-09-15
259,3212.085420920103,7577.914579079902,173.46568,241.42066797428006,2025-09-16
260,2877.0767542929184,7194.923245707087,173.46568,241.29556293402837,2025-09-17
261,2337.5138504529523,7049.486149547052,173.46568,241.0981484162584,2025-09-18
262,1600.1626600615643,7054.83733993844,173.46568,240.8488747207055,2025-09-19
263,1240.6509911592445,7414.34900884076,173.46568,240.73331685981464,2025-09-20
264,1240.6509911592445,6684.34900884076,173.46568,240.73331685981464,2025-09-21
265,590.6765653574689,7334.323434642535,173.46568,240.5323568150308,2025-09-22
266,4.2484357945995725,7920.751564205404,173.46568,240.37934640822468,2025-09-23
267,0.0,7178.000000000004,173.46568,240.3783205295032,2025-09-24
268,0.0,6463.000000000004,173.46568,240.37832052950318,2025-09-25
